metric,lang_type,value,split,dataset,name,i
acc,same_concept_<s> triangle </s>,0.9886619746405194,train,cub,setref,0
acc,same_concept_<s> not red and not white </s>,0.9968681320384308,train,cub,setref,0
acc,same_concept_<s> not yellow </s>,0.9985806455919819,train,cub,setref,0
acc,same_concept_<s> circle </s>,0.9881418124679249,train,cub,setref,0
acc,same_concept_<s> not circle and not rectangle </s>,0.7461684895274432,train,cub,setref,0
acc,same_concept_<s> red or green </s>,0.9950458722923874,train,cub,setref,0
acc,same_concept_<s> not blue and not green </s>,0.9939267023695701,train,cub,setref,0
acc,same_concept_<s> not white and ellipse </s>,0.815000011239733,train,cub,setref,0
loss,random,1.5132204294204712,train,cub,setref,0
acc,random,0.5008291938623142,train,cub,setref,0
bleu,random,0.6876408003904343,train,cub,setref,0
acc,random_<s> not white or not rectangle </s>,0.5221739242906156,train,cub,setref,0
acc,random_<s> gray </s>,0.51583012516204,train,cub,setref,0
acc,random_<s> green or square </s>,0.5220000109672547,train,cub,setref,0
acc,random_<s> not blue and not circle </s>,0.5300000107122792,train,cub,setref,0
acc,random_<s> ellipse </s>,0.5013398154296921,train,cub,setref,0
acc,random_<s> not square and not rectangle </s>,0.5047272820748163,train,cub,setref,0
acc,random_<s> not square and not ellipse </s>,0.488372891057851,train,cub,setref,0
acc,random_<s> square </s>,0.5014144022026962,train,cub,setref,0
acc,random_<s> red or gray </s>,0.532075481780998,train,cub,setref,0
acc,random_<s> not blue or not square </s>,0.4916129103831707,train,cub,setref,0
acc,random_<s> not circle and not triangle </s>,0.5020666765198112,train,cub,setref,0
acc,random_<s> not yellow and not gray </s>,0.5109473788110833,train,cub,setref,0
acc,random_<s> not blue and not white </s>,0.5096969790004119,train,cub,setref,0
acc,random_<s> blue or white </s>,0.48957346920012296,train,cub,setref,0
acc,random_<s> circle or triangle </s>,0.49375913347369127,train,cub,setref,0
acc,random_<s> not rectangle </s>,0.5039164590384256,train,cub,setref,0
acc,random_<s> not yellow or not rectangle </s>,0.5517647194950019,train,cub,setref,0
acc,random_<s> not green and not white </s>,0.5052191328183113,train,cub,setref,0
acc,random_<s> triangle </s>,0.47931925670851566,train,cub,setref,0
acc,random_<s> not red and not white </s>,0.48609891031551494,train,cub,setref,0
acc,random_<s> not yellow </s>,0.5353225903285127,train,cub,setref,0
acc,random_<s> circle </s>,0.5190709144842508,train,cub,setref,0
acc,random_<s> not circle and not rectangle </s>,0.4888315315034402,train,cub,setref,0
acc,random_<s> red or green </s>,0.5244036791829068,train,cub,setref,0
acc,random_<s> not blue and not green </s>,0.499267025170994,train,cub,setref,0
acc,random_<s> not white and ellipse </s>,0.5164285823702812,train,cub,setref,0
loss,any_concept,3.0761778354644775,train,cub,setref,0
acc,any_concept,0.4998150404035434,train,cub,setref,0
bleu,any_concept,0.7312835529526595,train,cub,setref,0
acc,any_concept_<s> not white or not rectangle </s>,0.5043478376515533,train,cub,setref,0
acc,any_concept_<s> gray </s>,0.4912741404156197,train,cub,setref,0
acc,any_concept_<s> green or square </s>,0.4964000090360641,train,cub,setref,0
acc,any_concept_<s> not blue and not circle </s>,0.5000000100996759,train,cub,setref,0
acc,any_concept_<s> ellipse </s>,0.5062912708564291,train,cub,setref,0
acc,any_concept_<s> not square and not rectangle </s>,0.4952121296163761,train,cub,setref,0
acc,any_concept_<s> not square and not ellipse </s>,0.4955932294943575,train,cub,setref,0
acc,any_concept_<s> square </s>,0.5018858656509047,train,cub,setref,0
acc,any_concept_<s> red or gray </s>,0.5023585002025905,train,cub,setref,0
acc,any_concept_<s> not blue or not square </s>,0.4787096864994495,train,cub,setref,0
acc,any_concept_<s> not circle and not triangle </s>,0.5049666765083869,train,cub,setref,0
acc,any_concept_<s> not yellow and not gray </s>,0.4924210618750045,train,cub,setref,0
acc,any_concept_<s> not blue and not white </s>,0.5020707163244786,train,cub,setref,0
acc,any_concept_<s> blue or white </s>,0.5076777345302264,train,cub,setref,0
acc,any_concept_<s> circle or triangle </s>,0.4916423441801411,train,cub,setref,0
acc,any_concept_<s> not rectangle </s>,0.500287216004986,train,cub,setref,0
acc,any_concept_<s> not yellow or not rectangle </s>,0.48176471380626457,train,cub,setref,0
acc,any_concept_<s> not green and not white </s>,0.5027091731172634,train,cub,setref,0
acc,any_concept_<s> triangle </s>,0.4921596335570717,train,cub,setref,0
acc,any_concept_<s> not red and not white </s>,0.5090109974268701,train,cub,setref,0
acc,any_concept_<s> not yellow </s>,0.5042903316982331,train,cub,setref,0
acc,any_concept_<s> circle </s>,0.4842542875239348,train,cub,setref,0
acc,any_concept_<s> not circle and not rectangle </s>,0.5113043583058955,train,cub,setref,0
acc,any_concept_<s> red or green </s>,0.49903670622189655,train,cub,setref,0
acc,any_concept_<s> not blue and not green </s>,0.48366493077568357,train,cub,setref,0
